reaction_ammo

[OBJECT:REACTION]

[REACTION:MANUFACTURE_AMMO_SMALL_LOW_QUALITY]
	[NAME:make 150 small caliber ammo from non-weapon metal]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_BRONZE]
	[NAME:make 28 bronze large caliber ammo]
	[BUILDING:BOWYER:CUSTOM_L]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_L]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_IRON]
	[NAME:make 28 iron large caliber ammo]
	[BUILDING:BOWYER:CUSTOM_SHIFT_L]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_SHIFT_L]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_SHIFT_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_STEEL]
	[NAME:make 28 steel large caliber ammo]
	[BUILDING:BOWYER:CUSTOM_ALT_E]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_E]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_E]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_STELLARITE]
	[NAME:make 28 stellarite large caliber ammo]
	[BUILDING:BOWYER:CUSTOM_SHIFT_E]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_SHIFT_E]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_SHIFT_E]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_EXPLOSIVE]
	[NAME:make 28 explosive large caliber ammo]
	[BUILDING:BOWYER:CUSTOM_E]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_E]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_E]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_EXPLOSIVES:NONE:NONE]
	[REAGENT:D:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE_EXPLOSIVE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE_EXPLOSIVE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_CANISTER]
	[NAME:make 28 large caliber canister ammo]
	[BUILDING:BOWYER:CUSTOM_C]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_C]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_C]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE_CANISTER:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE_CANISTER:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:FORGE_BB_PELLETS_PRISM]
	[NAME:forge (500) BB pellets (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_Z]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:50:AMMO:ITEM_AMMO_PELLET:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]
	
[REACTION:MANUFACTURE_AMMO_SMALL_LOW_QUALITY_PRISM]
	[NAME:make 150 small caliber ammo from non-weapon metal (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_S]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_BRONZE_PRISM]
	[NAME:make 150 bronze small caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_S]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_IRON_PRISM]
	[NAME:make 150 iron small caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_S]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_STEEL_PRISM]
	[NAME:make 150 steel small caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_STELLARITE_PRISM]
	[NAME:make 150 stellarite small caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_LOW_QUALITY_PRISM]
	[NAME:make 140 medium caliber ammo from non-weapon metal (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_M]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_BRONZE_PRISM]
	[NAME:make 140 bronze medium caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_M]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_IRON_PRISM]
	[NAME:make 140 iron medium caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_M]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_STEEL_PRISM]
	[NAME:make 140 steel medium caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_R]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_STELLARITE_PRISM]
	[NAME:make 140 stellarite medium caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_R]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_LOW_QUALITY_PRISM]
	[NAME:make 100 buckshot shotgun shells from non-weapon metal (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_B]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_BRONZE_PRISM]
	[NAME:make 100 bronze buckshot shotgun shells (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_B]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_IRON_PRISM]
	[NAME:make 100 iron buckshot shotgun shells (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_B]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_STEEL_PRISM]
	[NAME:make 100 steel buckshot shotgun shells (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_STELLARITE_PRISM]
	[NAME:make 100 stellarite buckshot shotgun shells (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]
	
[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_LOW_QUALITY_PRISM]
	[NAME:make 100 shotgun slugs from non-weapon metal (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_L]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_BRONZE_PRISM]
	[NAME:make 100 bronze shotgun slugs (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_IRON_PRISM]
	[NAME:make 100 iron shotgun slugs (prism)]
